aX,aY,aZ
-0.299,-0.413,-0.114
-0.304,-0.413,-0.117
-0.320,-0.413,-0.117
-0.318,-0.410,-0.112
-0.330,-0.409,-0.114
-0.334,-0.418,-0.117
-0.329,-0.439,-0.117
-0.326,-0.452,-0.117
-0.318,-0.468,-0.114
-0.308,-0.498,-0.110
-0.300,-0.519,-0.119
-0.287,-0.528,-0.121
-0.279,-0.535,-0.123
-0.283,-0.536,-0.117
-0.279,-0.548,-0.098
-0.266,-0.554,-0.077
-0.257,-0.573,-0.071
-0.247,-0.590,-0.068
-0.240,-0.603,-0.072
-0.231,-0.613,-0.089
-0.216,-0.629,-0.098
-0.195,-0.656,-0.127
-0.186,-0.681,-0.163
-0.169,-0.698,-0.206
-1.094,-0.497,-0.681
-1.064,-0.456,-0.939
-1.040,-0.488,-1.183
-1.039,-0.553,-1.312
-1.066,-0.584,-1.477
-1.086,-0.611,-1.579
-1.145,-0.609,-1.632
-1.206,-0.607,-1.641
-1.357,-0.615,-1.614
-1.272,-0.616,-1.520
-1.285,-0.655,-1.477
-1.311,-0.657,-1.379
-1.202,-0.625,-0.850
-1.178,-0.494,-0.990
-1.588,-0.346,-1.216
-1.464,-0.730,-0.928
-1.209,-0.583,-0.680
-1.199,-0.635,-0.780
-1.176,-0.638,-0.791
-1.154,-0.611,-0.688
-1.139,-0.658,-0.641
-1.175,-0.688,-0.568
-1.089,-0.667,-0.427
-1.095,-0.660,-0.572
-1.091,-0.685,-0.616
-0.903,-0.704,-0.456
-0.869,-0.765,-0.517
-0.932,-0.790,-0.560
-0.811,-0.846,-0.512
-0.769,-0.924,-0.502
-0.754,-0.927,-0.583
-0.678,-0.943,-0.625
-0.614,-0.920,-0.727
-0.612,-0.875,-0.837
-0.549,-0.867,-0.911
-0.499,-0.853,-0.936
-0.482,-0.873,-0.944
-0.429,-0.885,-0.956
-0.419,-0.889,-0.973
-0.385,-0.866,-0.977
-0.358,-0.847,-0.968
-0.358,-0.813,-1.066
-0.302,-0.845,-1.052
-0.280,-0.856,-1.067
-0.254,-0.852,-1.046
-0.238,-0.795,-1.046
-0.238,-0.763,-1.069
-0.249,-0.752,-1.047
-0.223,-0.740,-1.053
-0.216,-0.730,-1.066
-0.212,-0.699,-1.072
-0.185,-0.686,-1.055
-0.152,-0.661,-1.011
-0.132,-0.671,-0.978
-0.117,-0.673,-0.903
-0.105,-0.633,-0.866
-0.119,-0.606,-0.825
-0.118,-0.567,-0.795
-0.125,-0.555,-0.732
-0.132,-0.552,-0.681
-0.125,-0.537,-0.651
-0.127,-0.502,-0.598
-0.123,-0.468,-0.566
-0.110,-0.466,-0.553
-0.097,-0.482,-0.558
-0.083,-0.499,-0.574
-0.057,-0.499,-0.589
-0.039,-0.489,-0.602
-0.036,-0.454,-0.604
-0.039,-0.425,-0.601
-0.036,-0.408,-0.603
-0.018,-0.404,-0.601
-0.013,-0.387,-0.597
-0.017,-0.358,-0.584
-0.030,-0.348,-0.563
-0.044,-0.337,-0.548
-0.061,-0.325,-0.514
-0.068,-0.315,-0.483
-0.089,-0.305,-0.467
-0.109,-0.282,-0.428
-0.116,-0.272,-0.389
-0.131,-0.271,-0.354
-0.142,-0.265,-0.339
-0.149,-0.262,-0.306
-0.152,-0.265,-0.262
-0.150,-0.263,-0.238
-0.141,-0.290,-0.226
-0.137,-0.310,-0.216
-0.135,-0.310,-0.227
-0.151,-0.292,-0.243
-0.156,-0.302,-0.239
-0.156,-0.323,-0.238
-0.151,-0.334,-0.248
-0.144,-0.362,-0.251
-0.139,-0.382,-0.254
-0.136,-0.386,-0.265
-0.141,-0.390,-0.268
-0.145,-0.396,-0.284
-0.144,-0.423,-0.304
-0.137,-0.463,-0.317
-0.129,-0.481,-0.319
-0.121,-0.520,-0.322
-0.125,-0.532,-0.327
-0.130,-0.534,-0.330
-0.145,-0.532,-0.324
-0.158,-0.538,-0.315
-0.167,-0.558,-0.311
-0.171,-0.583,-0.299
-0.182,-0.592,-0.287
-0.194,-0.604,-0.281
-0.214,-0.613,-0.279
-0.227,-0.617,-0.274
-0.233,-0.629,-0.264
-0.243,-0.636,-0.254
-0.246,-0.648,-0.249
-0.250,-0.657,-0.235
-0.256,-0.662,-0.222
-0.255,-0.673,-0.215
-0.255,-0.678,-0.211
-1.260,-0.210,-0.544
-1.287,-0.212,-0.574
-1.317,-0.223,-0.601
-1.327,-0.229,-0.610
-1.323,-0.256,-0.622
-1.320,-0.292,-0.631
-1.301,-0.307,-0.571
-1.275,-0.165,-0.456
-1.396,-0.451,-0.584
-1.448,-0.486,-0.622
-1.262,-0.414,-0.465
-1.199,-0.433,-0.449
-1.242,-0.424,-0.482
-1.250,-0.433,-0.505
-1.281,-0.458,-0.555
-1.217,-0.402,-0.504
-1.182,-0.372,-0.500
-1.211,-0.373,-0.582
-1.219,-0.364,-0.572
-1.190,-0.393,-0.525
-1.157,-0.396,-0.530
-1.143,-0.404,-0.536
-1.100,-0.451,-0.547
-1.075,-0.487,-0.575
-1.032,-0.496,-0.626
-0.983,-0.528,-0.657
-0.943,-0.532,-0.721
-0.927,-0.546,-0.793
-0.900,-0.574,-0.832
-0.877,-0.588,-0.870
-0.870,-0.565,-0.915
-0.818,-0.573,-0.983
-0.778,-0.561,-1.013
-0.763,-0.562,-1.075
-0.755,-0.570,-1.111
-0.716,-0.584,-1.112
-0.676,-0.615,-1.123
-0.664,-0.633,-1.140
-0.627,-0.664,-1.153
-0.593,-0.639,-1.177
-0.526,-0.793,-1.192
-0.492,-0.762,-1.130
-0.510,-0.727,-1.172
-0.481,-0.709,-1.161
-0.453,-0.717,-1.145
-0.430,-0.726,-1.164
-0.423,-0.721,-1.165
-0.403,-0.712,-1.138
-0.380,-0.697,-1.079
-0.393,-0.664,-1.049
-0.383,-0.705,-0.980
-0.378,-0.692,-0.903
-0.364,-0.692,-0.840
-0.346,-0.681,-0.810
-0.340,-0.659,-0.774
-0.346,-0.632,-0.748
-0.335,-0.643,-0.689
-0.342,-0.605,-0.667
-0.334,-0.619,-0.641
-0.324,-0.609,-0.651
-0.282,-0.637,-0.666
-0.264,-0.625,-0.710
-0.246,-0.642,-0.728
-0.213,-0.650,-0.728
-0.178,-0.682,-0.723
-0.153,-0.734,-0.723
-0.105,-0.751,-0.682
-0.084,-0.754,-0.638
-0.086,-0.716,-0.508
-0.098,-0.638,-0.297
-0.133,-0.590,-0.033
-0.164,-0.474,0.096
-0.185,-0.314,0.292
-0.210,-0.206,0.410
-0.253,-0.052,0.374
-0.286,0.045,0.161
-0.291,0.083,-0.122
-0.262,0.092,-0.374
-0.199,0.090,-0.498
-0.172,0.061,-0.826
-0.129,0.039,-1.261
-0.039,-0.043,-1.499
0.028,-0.144,-2.009
0.175,-0.188,-2.436
0.277,-0.274,-2.604
0.353,-0.299,-2.733
0.365,-0.328,-2.699
0.367,-0.315,-2.425
0.376,-0.302,-2.195
0.305,-0.256,-1.709
0.254,-0.245,-1.327
0.186,-0.150,-1.109
0.070,-0.079,-0.715
0.032,-0.239,-0.347
-0.015,-0.108,-0.047
-0.067,-0.086,-0.039
-0.080,-0.126,0.084
-0.040,-0.174,0.280
-0.107,-0.277,0.282
-0.144,-0.203,0.329
-0.167,-0.210,0.376
-0.207,-0.244,0.303
-0.263,-0.296,0.230
-0.262,-0.345,0.058
-0.268,-0.335,-0.180
-0.268,-0.307,-0.276
-0.281,-0.294,-0.404
-0.275,-0.301,-0.449
-0.294,-0.305,-0.442
-0.346,-0.346,-0.455
-0.354,-0.366,-0.476
-0.341,-0.382,-0.472
-0.332,-0.430,-0.484
-0.329,-0.455,-0.468
-0.314,-0.470,-0.401
-0.324,-0.491,-0.363
-0.344,-0.492,-0.272
-0.352,-0.494,-0.176
-0.350,-0.493,-0.014
-0.993,-0.406,-0.633
-0.980,-0.285,-0.576
-1.041,-0.428,-0.653
-1.035,-0.462,-0.712
-0.974,-0.447,-0.623
-0.929,-0.467,-0.654
-1.016,-0.472,-0.705
-1.017,-0.475,-0.736
-0.988,-0.474,-0.689
-0.983,-0.449,-0.703
-1.006,-0.478,-0.744
-1.007,-0.505,-0.738
-0.988,-0.526,-0.717
-0.969,-0.554,-0.716
-0.968,-0.568,-0.711
-0.968,-0.575,-0.711
-0.967,-0.570,-0.712
-0.972,-0.557,-0.721
-0.979,-0.545,-0.748
-0.993,-0.540,-0.754
-0.999,-0.546,-0.761
-1.014,-0.548,-0.773
-1.021,-0.558,-0.760
-1.004,-0.545,-0.763
-1.066,-0.571,-0.755
-1.043,-0.609,-0.716
-1.041,-0.613,-0.718
-1.048,-0.618,-0.724
-1.030,-0.627,-0.717
-1.028,-0.625,-0.735
-1.027,-0.614,-0.738
-1.021,-0.605,-0.739
-1.020,-0.605,-0.739
-1.012,-0.600,-0.738
-0.994,-0.585,-0.740
-0.988,-0.575,-0.749
-0.970,-0.578,-0.756
-0.944,-0.578,-0.756
-0.915,-0.562,-0.771
-0.899,-0.564,-0.792
-0.862,-0.559,-0.797
-0.826,-0.553,-0.834
-0.780,-0.568,-0.851
-0.754,-0.560,-0.863
-0.723,-0.567,-0.875
-0.686,-0.569,-0.878
-0.647,-0.584,-0.882
-0.629,-0.584,-0.895
-0.604,-0.580,-0.909
-0.574,-0.588,-0.916
-0.558,-0.589,-0.927
-0.531,-0.580,-0.951
-0.515,-0.572,-0.953
-0.495,-0.571,-0.950
-0.484,-0.573,-0.917
-0.462,-0.577,-0.916
-0.454,-0.562,-0.916
-0.447,-0.561,-0.895
-0.446,-0.569,-0.875
-0.440,-0.573,-0.866
-0.431,-0.584,-0.861
-0.425,-0.591,-0.839
-0.423,-0.595,-0.828
-0.420,-0.594,-0.824
-0.429,-0.605,-0.809
-0.436,-0.601,-0.790
-0.448,-0.613,-0.773
-0.454,-0.632,-0.772
-0.451,-0.660,-0.764
-0.446,-0.694,-0.777
-0.447,-0.725,-0.775
-0.440,-0.711,-0.788
-0.461,-0.707,-0.816
-0.459,-0.726,-0.815
-0.454,-0.708,-0.832
-0.470,-0.666,-0.846
-0.486,-0.637,-0.869
-0.497,-0.635,-0.869
-0.494,-0.641,-0.872
-0.471,-0.658,-0.864
-0.464,-0.693,-0.847
-0.453,-0.703,-0.825
-0.441,-0.698,-0.787
-0.434,-0.691,-0.761
-0.431,-0.709,-0.724
-0.421,-0.722,-0.701
-0.405,-0.743,-0.691
-0.395,-0.766,-0.671
-0.377,-0.771,-0.646
-0.359,-0.766,-0.508
-0.355,-0.750,-0.600
-0.359,-0.712,-0.573
-0.355,-0.710,-0.541
-0.353,-0.686,-0.534
-0.353,-0.666,-0.524
-0.350,-0.653,-0.509
-0.355,-0.626,-0.498
-0.352,-0.625,-0.489
-0.348,-0.636,-0.468
-0.337,-0.645,-0.459
-0.325,-0.653,-0.459
-0.310,-0.657,-0.466
-0.303,-0.654,-0.490
-0.286,-0.648,-0.503
-0.282,-0.636,-0.505
-0.276,-0.641,-0.493
-0.264,-0.642,-0.480
-0.245,-0.643,-0.476
-0.242,-0.625,-0.467
-0.241,-0.613,-0.449
-0.218,-0.589,-0.432
-0.204,-0.592,-0.408
-0.200,-0.611,-0.362
-0.188,-0.598,-0.318
-0.181,-0.610,-0.288
-0.171,-0.617,-0.251
-0.174,-0.618,-0.216
-0.189,-0.608,-0.183
-0.221,-0.529,-0.180
-1.412,0.134,0.466
-1.414,0.131,0.467
-1.425,0.125,0.473
-1.428,0.114,0.473
-1.421,0.093,0.479
-1.402,0.084,0.478
-1.381,0.070,0.476
-1.370,0.055,0.458
-1.357,0.049,0.433
-1.341,0.041,0.418
-1.335,0.017,0.380
-1.297,0.009,0.385
-1.302,0.025,0.358
-1.320,0.023,0.320
-1.275,0.003,0.337
-1.258,-0.017,0.358
-1.244,-0.008,0.364
-1.230,-0.002,0.351
-1.221,-0.002,0.357
-1.217,-0.006,0.366
-1.211,-0.006,0.379
-1.206,0.002,0.400
-1.193,0.008,0.417
-1.186,0.024,0.429
-1.187,0.033,0.457
-1.197,0.039,0.491
-1.200,0.051,0.503
-1.203,0.057,0.525
-1.205,0.062,0.537
-1.209,0.082,0.535
-1.217,0.092,0.538
-1.210,0.086,0.537
-1.207,0.087,0.531
-1.205,0.092,0.523
-1.194,0.098,0.516
-1.190,0.108,0.503
-1.186,0.113,0.479
-1.185,0.120,0.461
-1.181,0.119,0.427
-1.166,0.114,0.391
-1.151,0.103,0.379
-1.141,0.094,0.352
-1.114,0.088,0.329
-1.089,0.072,0.318
-1.077,0.060,0.296
-1.054,0.055,0.284
-1.033,0.050,0.265
-1.024,0.050,0.259
-1.006,0.049,0.258
-1.001,0.043,0.256
-0.983,0.040,0.266
-0.964,0.036,0.275
-0.954,0.023,0.289
-0.937,0.022,0.296
-0.924,0.030,0.316
-0.919,0.041,0.339
-0.918,0.041,0.353
-0.913,0.045,0.385
-0.908,0.050,0.405
-0.910,0.059,0.435
-0.896,0.075,0.468
-0.925,0.073,0.436
-0.912,0.082,0.461
-0.885,0.104,0.509
-0.909,0.113,0.478
-0.922,0.108,0.481
-0.900,0.083,0.496
-0.896,0.078,0.491
-0.885,0.081,0.489
-0.860,0.061,0.496
-0.850,0.058,0.503
-0.841,0.046,0.505
-0.843,0.041,0.506
-0.842,0.038,0.512
