Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -0.98, 0.33, 0.26, 65.59, 112.98, -46.90
33:0:72, -0.99, 0.34, 0.17, 62.51, 106.33, -58.59
33:0:72, -1.02, 0.32, 0.12, 41.02, 91.84, -62.02
33:0:72, -1.00, 0.20, 0.12, 24.78, 87.29, -61.53
33:0:72, -1.03, 0.22, 0.19, 3.57, 94.29, -56.21
33:0:72, -1.05, 0.21, 0.21, -11.62, 91.77, -47.81
33:0:72, -0.95, 0.24, 0.22, -39.97, 88.69, -35.49
33:0:72, -0.88, 0.26, 0.21, -57.75, 91.07, -20.72
33:0:72, -0.89, 0.26, 0.19, -71.75, 88.27, -12.25
33:0:72, -0.84, 0.23, 0.18, -67.06, 85.54, -6.09
33:0:72, -0.85, 0.27, 0.17, -63.28, 77.35, -2.10
33:0:72, -0.81, 0.22, 0.18, -50.75, 63.63, -2.10
33:0:72, -0.77, 0.17, 0.21, -43.82, 62.72, 10.08
33:0:72, -0.79, 0.08, 0.21, -29.54, 62.23, 15.40
33:0:72, -0.69, -0.01, 0.23, -20.30, 66.08, 15.05
33:0:72, -0.59, -0.04, 0.25, -10.43, 82.74, 20.23
33:0:72, -0.52, -0.15, 0.16, -5.74, 110.11, 28.28
33:0:72, -0.63, -0.05, 0.24, 6.79, 122.29, 24.85
33:0:72, -0.97, -0.11, 0.17, 4.20, 96.60, 17.85
33:0:72, -1.01, 0.09, 0.29, -5.32, 92.75, 11.62
33:0:72, -1.05, 0.13, 0.22, 2.17, 88.34, 14.28
33:0:72, -1.04, 0.13, 0.22, 20.09, 82.81, 16.45
33:0:72, -1.04, 0.19, 0.21, 52.29, 70.00, 8.96
33:0:72, -0.99, 0.19, 0.19, 62.72, 63.21, 6.23
33:0:72, -0.95, 0.20, 0.14, 57.05, 63.77, 0.77
33:0:72, -0.99, 0.17, 0.12, 59.43, 60.83, -4.62
33:0:72, -1.03, 0.18, 0.18, 59.99, 62.02, -13.02
33:0:72, -1.08, 0.10, 0.15, 61.81, 61.04, -20.16
33:0:72, -1.13, 0.15, 0.19, 57.96, 50.61, -26.53
33:0:72, -1.18, 0.14, 0.22, 56.35, 42.00, -30.45
33:0:72, -1.20, 0.04, 0.16, 46.34, 40.32, -26.18
33:0:72, -1.31, 0.13, 0.15, 46.41, 42.98, -26.67
33:0:72, -1.40, 0.03, 0.07, 56.56, 43.05, -24.01
33:0:72, -1.50, 0.16, 0.02, 47.81, 39.76, -31.99
33:0:72, -1.63, 0.08, -0.06, 61.53, 22.82, -35.91
33:0:72, -1.75, 0.05, -0.13, 79.66, -1.40, -42.35
33:0:72, -1.77, 0.09, -0.19, 87.43, -22.68, -34.72
33:0:72, -1.88, 0.19, -0.15, 63.70, -33.81, -25.13
33:0:72, -1.91, 0.28, -0.05, 6.79, -24.29, -28.35
33:0:72, -1.87, 0.21, 0.08, -18.97, -11.13, -38.78
33:0:72, -1.83, 0.02, 0.17, -23.03, -27.23, -41.93
33:0:72, -1.67, -0.19, 0.20, -15.96, -68.04, -43.61
33:0:72, -1.51, -0.39, 0.20, 22.33, -109.41, -58.31
33:0:72, -1.42, -0.48, 0.18, 50.61, -144.13, -74.41
33:0:72, -1.40, -0.50, 0.20, 77.14, -175.84, -72.66
33:0:72, -1.41, -0.11, 0.26, 67.34, -175.49, -74.76
33:0:72, -1.49, 0.07, 0.31, 64.75, -174.72, -64.40
33:0:72, -1.27, 0.08, 0.26, 60.55, -136.57, -28.14
33:0:72, -1.35, 0.12, 0.22, 108.29, -124.46, -1.19
33:0:72, -1.22, 0.09, 0.21, 146.09, -129.08, 69.16
33:0:72, -1.26, 0.45, 0.16, 165.76, -145.67, 97.30
33:0:72, -1.17, 0.67, 0.21, 105.21, -169.19, 124.53
33:0:72, -1.16, 0.67, -0.02, 21.28, -163.03, 137.41
33:0:72, -1.07, 0.64, -0.30, -19.25, -158.34, 133.98
33:0:72, -1.15, 0.80, -0.44, -11.55, -165.48, 130.13
33:0:72, -1.15, 0.73, -0.54, -39.83, -160.72, 118.09
33:0:72, -1.11, 0.68, -0.49, -129.50, -163.03, 106.96
33:0:72, -1.20, 0.43, -0.40, -238.07, -165.27, 113.89
33:0:72, -1.00, 0.37, -0.37, -255.78, -182.77, 90.09
33:0:72, -0.95, -0.14, -0.14, -255.08, -186.83, 84.35
33:0:72, -0.66, -0.22, 0.17, -219.52, -194.60, 66.92
33:0:72, -0.50, -0.29, 0.67, -183.12, -183.54, 41.79
33:0:72, -0.39, -0.43, 0.74, -151.27, -198.94, 41.79
33:0:72, -0.64, -0.43, 0.69, -163.31, -199.57, 33.53
33:0:72, -0.72, -0.41, 0.36, -192.99, -182.42, 21.07
33:0:72, -0.64, -0.45, 0.06, -177.87, -164.01, 21.77
33:0:72, -0.65, -0.12, 0.13, -105.14, -146.72, 13.16
33:0:72, -0.43, -0.03, 0.28, -36.68, -149.17, 26.67
33:0:72, -0.53, 0.15, 0.31, -13.51, -139.09, 15.68
33:0:72, -0.45, 0.15, 0.29, -7.98, -150.99, 28.77
33:0:72, -0.71, 0.46, 0.37, -47.25, -134.75, -3.01
33:0:72, -0.46, 0.01, 0.30, -77.77, -142.52, 3.85
33:0:72, -0.29, -0.24, 0.26, -82.39, -137.62, 9.80
33:0:72, -0.27, -0.07, 0.30, -73.22, -125.44, 8.40
33:0:72, -0.35, 0.35, 0.44, -72.31, -100.10, -17.50
33:0:72, -0.06, -0.15, 0.27, -66.50, -97.23, -0.84
33:0:72, -0.10, -0.02, 0.38, -50.75, -81.13, -8.40
33:0:72, -0.09, 0.01, 0.39, -53.41, -65.17, -7.98
33:0:72, -0.04, 0.02, 0.42, -50.40, -45.36, -18.41
33:0:72, 0.07, -0.16, 0.30, -50.75, -26.04, -7.70
33:0:72, 0.04, -0.14, 0.30, -37.87, -8.82, -6.51
33:0:72, 0.05, -0.15, 0.40, -17.85, 12.81, -2.24
33:0:72, 0.02, -0.19, 0.51, 3.36, 49.00, 6.44
33:0:72, 0.04, -0.20, 0.64, 33.18, 56.21, 18.41
33:0:72, 0.02, -0.17, 0.77, 59.36, 81.13, 27.37
33:0:72, 0.10, -0.08, 0.89, 98.98, 92.47, 40.11
33:0:72, -0.12, 0.13, 1.06, 158.34, 126.14, 43.61
33:0:72, -0.14, 0.03, 1.11, 214.62, 70.00, 29.75
33:0:72, -0.66, 0.23, 1.10, 208.11, 39.48, -11.62
33:0:72, -1.43, 0.10, 0.45, 187.04, 41.16, -5.53
33:0:72, -1.72, 0.24, 1.58, 88.48, 79.45, 25.97
