Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -1.08, -0.56, 0.58, -89.32, 9.45, 68.53
33:0:72, -1.14, -0.34, 0.64, 0.00, -40.67, 24.99
33:0:72, -1.04, -0.17, 0.73, 54.60, -85.82, 25.48
33:0:72, -1.04, 0.11, 0.66, 80.22, -115.78, 38.15
33:0:72, -1.02, 0.09, 0.55, 96.88, -134.19, 46.62
33:0:72, -1.00, 0.21, 0.51, 94.29, -145.74, 48.65
33:0:72, -0.92, 0.20, 0.41, 87.71, -142.94, 64.75
33:0:72, -0.79, 0.05, 0.36, 68.74, -127.05, 83.93
33:0:72, -0.74, 0.05, 0.36, 61.53, -128.80, 69.65
33:0:72, -0.63, 0.05, 0.30, 63.70, -134.12, 45.99
33:0:72, -0.11, 0.25, 0.44, 53.76, -98.42, 37.94
33:0:72, -0.38, 0.14, 0.48, 43.47, -39.13, 62.58
33:0:72, -0.48, 0.13, 0.51, 16.87, -15.47, 108.29
33:0:72, -0.51, -0.05, 0.56, 13.30, 39.34, 123.34
33:0:72, -0.62, 0.20, 0.57, 10.29, 84.21, 91.14
33:0:72, -0.41, 0.33, 0.50, 20.37, 103.46, 45.71
33:0:72, -0.10, 0.35, 0.36, 51.17, 109.69, 11.27
33:0:72, -0.26, 0.47, 0.54, 44.10, 39.20, -24.15
33:0:72, -0.11, 0.45, 0.83, 41.79, 22.40, -37.73
33:0:72, 0.43, 0.40, 1.20, 139.58, 102.13, -118.37
33:0:72, 0.47, 0.16, 1.44, 76.23, 114.80, -86.03
33:0:72, 0.36, -0.20, 0.95, 8.82, 42.63, -16.80
33:0:72, -0.35, 0.15, 1.06, 153.37, 171.50, 23.87
33:0:72, -0.88, 0.69, 0.81, 52.43, 229.81, 53.62
33:0:72, -1.09, 0.71, 0.98, -39.76, 186.83, -13.86
33:0:72, -1.39, 0.77, 0.76, 23.52, 184.10, -141.54
33:0:72, -1.82, 0.93, 0.53, 159.53, 144.06, -243.95
33:0:72, -1.55, 0.85, 0.61, 56.28, 105.98, -263.69
33:0:72, -0.93, 0.84, 0.64, -37.10, 46.41, -229.74
33:0:72, -1.01, 0.41, 0.61, -36.47, 23.59, -121.66
33:0:72, -1.14, 0.67, 0.78, -31.99, 45.85, -46.90
33:0:72, -0.96, 0.33, 0.59, 4.20, 108.50, 22.47
33:0:72, -0.74, 0.10, 0.50, 44.38, 131.95, 49.35
33:0:72, -0.56, 0.10, 0.41, 64.96, 160.02, 28.21
33:0:72, -0.26, 0.21, 0.63, 106.61, 184.38, -86.87
33:0:72, 0.47, -0.25, 0.61, 75.46, 232.75, -195.58
33:0:72, 0.41, -0.36, 0.20, 89.32, 206.85, -348.39
33:0:72, -0.03, -0.82, -0.65, -29.33, 127.40, -337.12
33:0:72, -0.86, -1.65, -1.32, 30.94, -65.87, -219.03
33:0:72, -0.62, -0.30, -0.43, 48.79, -231.21, -186.48
33:0:72, -0.77, 0.24, -0.67, -174.51, -340.27, -166.39
33:0:72, -1.07, 0.48, 0.41, -399.49, -264.25, -113.61
33:0:72, -1.04, -0.10, 0.86, -708.89, 1.82, -3.22
33:0:72, -0.92, -0.79, 1.20, -671.93, 169.75, 56.91
33:0:72, -1.17, -0.39, 0.07, -426.09, 201.39, -33.95
33:0:72, -1.27, -0.44, -0.04, -182.49, 57.05, -28.28
33:0:72, -1.37, -0.02, 0.44, -120.82, 98.77, -38.08
33:0:72, -1.39, 0.04, 0.44, -133.84, 162.05, -55.86
33:0:72, -1.34, -0.14, 0.39, -136.01, 162.54, -33.53
33:0:72, -1.44, 0.01, 0.33, -141.89, 172.20, -21.63
33:0:72, -1.32, -0.04, 0.36, -164.50, 163.94, -4.76
33:0:72, -1.27, -0.17, 0.22, -172.97, 141.82, -6.02
33:0:72, -1.30, -0.17, 0.17, -141.05, 103.04, -5.95
33:0:72, -1.22, -0.14, 0.36, -200.48, 67.83, -1.89
33:0:72, -1.09, -0.31, 0.41, -300.09, 29.12, 38.43
33:0:72, -1.13, -0.42, -0.09, -302.82, 3.78, 31.01
33:0:72, -1.06, -0.05, 0.11, -220.36, 33.81, 7.98
33:0:72, -1.26, -0.33, -0.15, -48.58, 34.02, -2.73
33:0:72, -1.15, -0.07, -0.01, 32.13, 37.38, -2.31
33:0:72, -1.01, -0.23, 0.21, 82.39, 17.15, 5.39
33:0:72, -0.90, -0.28, 0.49, 86.94, 20.86, 25.41
33:0:72, -0.80, -0.35, 0.44, 41.51, 0.35, 48.93
33:0:72, -0.70, -0.58, 0.24, -39.20, -28.49, 53.83
33:0:72, -0.57, -0.51, 0.21, -71.54, -48.02, 49.84
33:0:72, -0.58, -0.59, 0.22, -41.79, -21.77, 56.63
33:0:72, -0.58, -0.52, 0.16, -37.80, 23.45, 76.51
33:0:72, -0.57, -0.31, -0.04, -28.00, 71.12, 83.16
33:0:72, -0.51, -0.27, -0.07, 1.68, 79.94, 63.21
33:0:72, -0.59, -0.14, 0.14, 7.07, 79.03, 47.53
33:0:72, -0.59, -0.08, 0.22, 19.53, 52.57, 3.08
33:0:72, -0.49, -0.21, 0.10, 185.36, 87.78, 26.95
33:0:72, -0.92, 0.32, 0.11, 356.44, 167.72, 81.69
33:0:72, -1.21, 0.43, 0.29, 358.19, 186.48, 55.09
33:0:72, -1.09, -1.21, 0.41, 394.52, 110.39, 26.74
33:0:72, -0.55, -0.77, 0.37, 310.45, 74.90, 40.88
33:0:72, -0.70, -0.45, -0.16, 230.93, 77.91, 10.15
33:0:72, -0.85, -0.09, -0.30, 175.21, -10.92, -10.01
33:0:72, -0.87, 0.26, -0.19, 29.05, -60.55, -33.04
33:0:72, -1.24, 0.03, -0.06, -71.47, -62.79, -55.23
33:0:72, -1.51, -0.02, 0.13, -148.75, -29.33, -34.93
33:0:72, -2.34, 0.32, 0.21, -300.65, -61.18, -84.70
33:0:72, -1.28, -0.86, 0.01, -132.02, -10.50, -38.08
33:0:72, -1.42, -0.22, 0.27, -91.28, -22.05, -64.68
33:0:72, -1.48, -0.35, 0.23, -77.21, -50.12, -92.96
33:0:72, -1.46, -0.39, 0.34, -127.89, -65.66, -106.05
33:0:72, -1.68, -0.56, 0.26, -140.77, -83.79, -119.49
33:0:72, -1.80, -0.43, 0.23, -191.66, -94.57, -139.58
33:0:72, -1.48, -0.45, 0.13, -238.91, -94.08, -141.40
